"sites","plots","plotnums"
"willow-meadow interface plot #2 - 2008","int","2"
"willow-meadow interface plot #3 - 2008","int","3"
"willow-meadow interface plot #4 - 2008","int","4"
"willow-meadow interface plot #5 - 2008","int","5"
"aspen forest #8 - 2009","rm","8"
"aspen forest #9 - 2009","rm","9"
"erythronium meadow #1 - 2009","em","1"
"erythronium meadow #2 - 2009","em","2"
"greenhouse plot #1 - 2009","gp","1"
"greenhouse plot #2 - 2009","gp","2"
"greenhouse plot #3 - 2009","gp","3"
"greenhouse plot #4 - 2009","gp","4"
"greenhouse plot #5 - 2009","gp","5"
"meadow plot #11 - 2009","meadow plot #11 - 2009","1"
"rocky meadow #1 - 2009","rm","1"
"rocky meadow #2 - 2009","rm","2"
"rocky meadow #3 - 2009","rm","3"
"rocky meadow #4 - 2009","rm","4"
"rocky meadow #5 - 2009","rm","5"
"rocky meadow #6 - 2009","rm","6"
"rocky meadow #7 - 2009","rm","7"
"stream plot #10 - 2009","stream plot #10 - 2009","1"
"veratrum removal #1 - 2009","vr","1"
"veratrum removal #2 - 2009","vr","2"
"wet meadow #1 - 2009","wm","1"
"wet meadow #2 - 2009","wm","2"
"wet meadow #3 - 2009","wm","3"
"wet meadow #4 - 2009","wm","4"
"wet meadow #5 - 2009","wm","5"
"willow-meadow interface plot #1 - 2009","int","1"
"willow-meadow interface plot #2 - 2009","int","2"
"willow-meadow interface plot #3 - 2009","int","3"
"willow-meadow interface plot #4 - 2009","int","4"
"willow-meadow interface plot #5 - 2009","int","5"
