sites,plots,plotnums
greenhouse plot #1 - 2009,gh,1
greenhouse plot #2 - 1997,gh,2
greenhouse plot #2 - 1998,gh,2
greenhouse plot #2 - 1999,gh,2
greenhouse plot #2 - 2000,gh,2
greenhouse plot #2 - 2001,gh,2
greenhouse plot #2 - 2002,gh,2
greenhouse plot #2 - 2003,gh,2
greenhouse plot #2 - 2004,gh,2
greenhouse plot #2 - 2005,gh,2
greenhouse plot #2 - 2006,gh,2
greenhouse plot #2 - 2007,gh,2
greenhouse plot #2 - 2008,gh,2
greenhouse plot #2 - 2009,gh,2
greenhouse plot #3 - 1998,gh,3
greenhouse plot #3 - 1999,gh,3
greenhouse plot #3 - 2000,gh,3
greenhouse plot #3 - 2001,gh,3
greenhouse plot #3 - 2002,gh,3
greenhouse plot #3 - 2003,gh,3
greenhouse plot #3 - 2004,gh,3
greenhouse plot #3 - 2005,gh,3
greenhouse plot #3 - 2006,gh,3
greenhouse plot #3 - 2007,gh,3
greenhouse plot #3 - 2008,gh,3
greenhouse plot #3 - 2009,gh,3
greenhouse plot #4 - 1998,gh,4
greenhouse plot #4 - 1999,gh,4
greenhouse plot #4 - 2000,gh,4
greenhouse plot #4 - 2001,gh,4
greenhouse plot #4 - 2002,gh,4
greenhouse plot #4 - 2003,gh,4
greenhouse plot #4 - 2004,gh,4
greenhouse plot #4 - 2005,gh,4
greenhouse plot #4 - 2006,gh,4
greenhouse plot #4 - 2007,gh,4
greenhouse plot #4 - 2008,gh,4
greenhouse plot #4 - 2009,gh,4
greenhouse plot #5 - 1998,gh,5
greenhouse plot #5 - 1999,gh,5
greenhouse plot #5 - 2000,gh,5
greenhouse plot #5 - 2001,gh,5
greenhouse plot #5 - 2002,gh,5
greenhouse plot #5 - 2003,gh,5
greenhouse plot #5 - 2004,gh,5
greenhouse plot #5 - 2005,gh,5
greenhouse plot #5 - 2006,gh,5
greenhouse plot #5 - 2007,gh,5
greenhouse plot #5 - 2008,gh,5
greenhouse plot #5 - 2009,gh,5
int1-1974,mi,1
int1-1975,mi,1
int1-1976,mi,1
int11977,mi,1
int11979,mi,1
int11984,mi,1
int11987,mi,1
int11988,mi,1
int11989,mi,1
int11991,mi,1
int11992,mi,1
int11993,mi,1
int11994,mi,1
int11995,mi,1
int11996,mi,1
int2-1974,mi,2
int2-1975,mi,2
int21976,mi,2
int21977,mi,2
int21979,mi,2
int21984,mi,2
int21987,mi,2
int21988,mi,2
int21989,mi,2
int21991,mi,2
int21992,mi,2
int21993,mi,2
int21994,mi,2
int21995,mi,2
int21996,mi,2
int3-1974,mi,3
int3-1975,mi,3
int31976,mi,3
int31977,mi,3
int31979,mi,3
int31984,mi,3
int31987,mi,3
int31988,mi,3
int31989,mi,3
int31991,mi,3
int31992,mi,3
int31993,mi,3
int31994,mi,3
int31995,mi,3
int31996,mi,3
int4-1974,mi,4
int4-1975,mi,4
int41976,mi,4
int41977,mi,4
int41979,mi,4
int41984,mi,4
int41987,mi,4
int41988,mi,4
int41989,mi,4
int41991,mi,4
int41992,mi,4
int41993,mi,4
int41994,mi,4
int41995,mi,4
int41996,mi,4
int5-1974,mi,5
int5-1975,mi,5
int51976,mi,5
int51977,mi,5
int51979,mi,5
int51984,mi,5
int51987,mi,5
int51988,mi,5
int51989,mi,5
int51991,mi,5
int51992,mi,5
int51993,mi,5
int51994,mi,5
int51995,mi,5
int51996,mi,5
meadow (enders) plot #1,st,1
meadow (enders) plot #11 - 2006,mw,1
meadow (enders) plot #11 - 2007,mw,1
meadow plot #11 - 2008,mw,1
meadow plot #11 - 2009,mw,1
rm1-1973,rm,1
rm1-1974,rm,1
rm1-1975,rm,1
rm1-1980,rm,1
rm1-1981,rm,1
rm1-1982,rm,1
rm1-1983,rm,1
rm1-1984,rm,1
rm1-1985,rm,1
rm1-1986,rm,1
rm11976,rm,1
rm11977,rm,1
rm11979,rm,1
rm11987,rm,1
rm11988,rm,1
rm11989,rm,1
rm11991,rm,1
rm11992,rm,1
rm11993,rm,1
rm11994,rm,1
rm11995,rm,1
rm11996,rm,1
rm2-1973,rm,2
rm2-1974,rm,2
rm2-1975,rm,2
rm2-1980,rm,2
rm2-1981,rm,2
rm2-1982,rm,2
rm2-1983,rm,2
rm2-1984,rm,2
rm2-1985,rm,2
rm2-1986,rm,2
rm21976,rm,2
rm21977,rm,2
rm21979,rm,2
rm21987,rm,2
rm21988,rm,2
rm21989,rm,2
rm21991,rm,2
rm21992,rm,2
rm21993,rm,2
rm21994,rm,2
rm21995,rm,2
rm3-1973,rm,3
rm3-1974,rm,3
rm3-1975,rm,3
rm3-1980,rm,3
rm3-1981,rm,3
rm3-1982,rm,3
rm3-1983,rm,3
rm3-1984,rm,3
rm3-1985,rm,3
rm3-1986,rm,3
rm31976,rm,3
rm31977,rm,3
rm31979,rm,3
rm31987,rm,3
rm31988,rm,3
rm31989,rm,3
rm31991,rm,3
rm31992,rm,3
rm31993,rm,3
rm31994,rm,3
rm31995,rm,3
rm4-1973,rm,4
rm4-1974,rm,4
rm4-1975,rm,4
rm4-1980,rm,4
rm4-1981,rm,4
rm4-1982,rm,4
rm4-1983,rm,4
rm4-1984,rm,4
rm4-1985,rm,4
rm4-1986,rm,4
rm41976,rm,4
rm41977,rm,4
rm41979,rm,4
rm41987,rm,4
rm41988,rm,4
rm41989,rm,4
rm41991,rm,4
rm41992,rm,4
rm41993,rm,4
rm41994,rm,4
rm41995,rm,4
rm5-1973,rm,5
rm5-1974,rm,5
rm5-1975,rm,5
rm5-1980,rm,5
rm5-1981,rm,5
rm5-1982,rm,5
rm5-1983,rm,5
rm5-1984,rm,5
rm5-1985,rm,5
rm5-1986,rm,5
rm51976,rm,5
rm51977,rm,5
rm51979,rm,5
rm51987,rm,5
rm51988,rm,5
rm51989,rm,5
rm51991,rm,5
rm51992,rm,5
rm51993,rm,5
rm51994,rm,5
rm51995,rm,5
rm6-1973,rm,6
rm6-1974,rm,6
rm6-1975,rm,6
rm6-1980,rm,6
rm6-1981,rm,6
rm6-1982,rm,6
rm6-1983,rm,6
rm6-1984,rm,6
rm6-1985,rm,6
rm6-1986,rm,6
rm61976,rm,6
rm61977,rm,6
rm61979,rm,6
rm61987,rm,6
rm61988,rm,6
rm61989,rm,6
rm61991,rm,6
rm61992,rm,6
rm61993,rm,6
rm61994,rm,6
rm61995,rm,6
rm7-1973,rm,7
rm7-1974,rm,7
rm7-1975,rm,7
rm7-1980,rm,7
rm7-1981,rm,7
rm7-1982,rm,7
rm7-1983,rm,7
rm7-1984,rm,7
rm7-1985,rm,7
rm7-1986,rm,7
rm71976,rm,7
rm71977,rm,7
rm71979,rm,7
rm71987,rm,7
rm71988,rm,7
rm71989,rm,7
rm71991,rm,7
rm71992,rm,7
rm71993,rm,7
rm71994,rm,7
rm71995,rm,7
rm71995-1,rm,7
rm71996,rm,7
rm8-1973,rm,8
rm8-1974,rm,8
rm8-1975,rm,8
rm8-1980,rm,8
rm8-1981,rm,8
rm8-1982,rm,8
rm8-1983,rm,8
rm8-1984,rm,8
rm8-1985,rm,8
rm8-1986,rm,8
rm81976,rm,8
rm81977,rm,8
rm81979,rm,8
rm81987,rm,8
rm81988,rm,8
rm81989,rm,8
rm81991,rm,8
rm81992,rm,8
rm81993,rm,8
rm81994,rm,8
rm81995,rm,8
rm81995-1,rm,8
rm9-1973,rm,9
rm9-1974,rm,9
rm9-1975,rm,9
rm9-1980,rm,9
rm9-1981,rm,9
rm9-1982,rm,9
rm9-1983,rm,9
rm9-1984,rm,9
rm9-1985,rm,9
rm9-1986,rm,9
rm91976,rm,9
rm91977,rm,9
rm91979,rm,9
rm91987,rm,9
rm91988,rm,9
rm91989,rm,9
rm91991,rm,9
rm91992,rm,9
rm91993,rm,9
rm91994,rm,9
rm91995,rm,9
rm91995-1,rm,9
rocky meadow #1 - 1998,rm,1
rocky meadow #1 - 1999,rm,1
rocky meadow #1 - 2000,rm,1
rocky meadow #1 - 2001,rm,1
rocky meadow #1 - 2002,rm,1
rocky meadow #1 - 2003,rm,1
rocky meadow #1 - 2004,rm,1
rocky meadow #1 - 2005,rm,1
rocky meadow #1 - 2007,rm,1
rocky meadow #1 - 2008,rm,1
rocky meadow #1 - 2009,rm,1
rocky meadow #1 - updated september 2008_2006,rm,1
rocky meadow #2 - 1998,rm,2
rocky meadow #2 - 1999,rm,2
rocky meadow #2 - 2000,rm,2
rocky meadow #2 - 2001,rm,2
rocky meadow #2 - 2002,rm,2
rocky meadow #2 - 2003,rm,2
rocky meadow #2 - 2004,rm,2
rocky meadow #2 - 2005,rm,2
rocky meadow #2 - 2007,rm,2
rocky meadow #2 - 2008,rm,2
rocky meadow #2 - 2009,rm,2
rocky meadow #2 - updated september 2008_2006,rm,2
rocky meadow #3 - 1998,rm,3
rocky meadow #3 - 1999,rm,3
rocky meadow #3 - 2000,rm,3
rocky meadow #3 - 2001,rm,3
rocky meadow #3 - 2002,rm,3
rocky meadow #3 - 2003,rm,3
rocky meadow #3 - 2004,rm,3
rocky meadow #3 - 2005,rm,3
rocky meadow #3 - 2007,rm,3
rocky meadow #3 - 2008,rm,3
rocky meadow #3 - 2009,rm,3
rocky meadow #3 - updated september 2008_2006,rm,3
rocky meadow #4 - 1998,rm,4
rocky meadow #4 - 1999,rm,4
rocky meadow #4 - 2000,rm,4
rocky meadow #4 - 2001,rm,4
rocky meadow #4 - 2002,rm,4
rocky meadow #4 - 2003,rm,4
rocky meadow #4 - 2004,rm,4
rocky meadow #4 - 2005,rm,4
rocky meadow #4 - 2007,rm,4
rocky meadow #4 - 2008,rm,4
rocky meadow #4 - 2009,rm,4
rocky meadow #4 - updated september 2008_2006,rm,4
rocky meadow #5 - 1998,rm,5
rocky meadow #5 - 1999,rm,5
rocky meadow #5 - 2000,rm,5
rocky meadow #5 - 2001,rm,5
rocky meadow #5 - 2002,rm,5
rocky meadow #5 - 2003,rm,5
rocky meadow #5 - 2004,rm,5
rocky meadow #5 - 2005,rm,5
rocky meadow #5 - 2007,rm,5
rocky meadow #5 - 2008,rm,5
rocky meadow #5 - 2009,rm,5
rocky meadow #5 - updated september 2008_2006,rm,5
rocky meadow #6 - 1998,rm,6
rocky meadow #6 - 1999,rm,6
rocky meadow #6 - 2000,rm,6
rocky meadow #6 - 2001,rm,6
rocky meadow #6 - 2002,rm,6
rocky meadow #6 - 2003,rm,6
rocky meadow #6 - 2004,rm,6
rocky meadow #6 - 2005,rm,6
rocky meadow #6 - 2007,rm,6
rocky meadow #6 - 2008,rm,6
rocky meadow #6 - 2009,rm,6
rocky meadow #6 - updated september 2008_2006,rm,6
rocky meadow #7 - 1998,rm,7
rocky meadow #7 - 1999,rm,7
rocky meadow #7 - 2000,rm,7
rocky meadow #7 - 2001,rm,7
rocky meadow #7 - 2002,rm,7
rocky meadow #7 - 2003,rm,7
rocky meadow #7 - 2004,rm,7
rocky meadow #7 - 2005,rm,7
rocky meadow #7 - 2006,rm,7
rocky meadow #7 - 2007,rm,7
rocky meadow #7 - 2008,rm,7
rocky meadow #7 - 2009,rm,7
rocky meadow #8 - 1998,rm,8
rocky meadow #8 - 1999,rm,8
rocky meadow #8 - 2000,rm,8
rocky meadow #8 - 2001,rm,8
rocky meadow #8 - 2002,rm,8
rocky meadow #8 - 2003,rm,8
rocky meadow #8 - 2004,rm,8
rocky meadow #8 - 2005,rm,8
rocky meadow #9 - 1998,rm,9
rocky meadow #9 - 1999,rm,9
rocky meadow #9 - 2000,rm,9
rocky meadow #9 - 2001,rm,9
rocky meadow #9 - 2002,rm,9
rocky meadow #9 - 2003,rm,9
rocky meadow #9 - 2004,rm,9
rocky meadow #9 - 2005,rm,9
rocky meadow plot #1 - 1997,rm,1
rocky meadow plot #2 - 1997,rm,2
rocky meadow plot #3 - 1997,rm,3
rocky meadow plot #4 - 1997,rm,4
rocky meadow plot #5 - 1997,rm,5
rocky meadow plot #6 - 1997,rm,6
rocky meadow plot #7 - 1997,rm,7
rocky meadow plot #8 - 1997,rm,8
rocky meadow plot #9 - 1997,rm,9
sb2-1973,sb2-1973,
sb3-1973,sb3-1973,
sb5-1973,sb5-1973,
sb6-1973,sb6-1973,
sb7-1973,sb7-1973,
ss1-1973,ss1-1973,
ss2-1973,ss2-1973,
ss4-1973,ss4-1973,
stream (calder) plot #1,st,1
stream (calder) plot #1 - 2005,st,1
stream plot #10 - 2006,st,1
stream plot #10 - 2007,st,1
stream plot #10 - 2008,st,1
stream plot #10 - 2009,st,1
vb1-1973,vb1-1973,
veratrum removal #1,vr,1
veratrum removal #1 - 1998,vr,1
veratrum removal #1 - 1999,vr,1
veratrum removal #1 - 2000,vr,1
veratrum removal #1 - 2001,vr,1
veratrum removal #1 - 2002,vr,1
veratrum removal #1 - 2003,vr,1
veratrum removal #1 - 2004,vr,1
veratrum removal #1 - 2005,vr,1
veratrum removal #1 - 2006,vr,1
veratrum removal #1 - 2007,vr,1
veratrum removal #1 - 2008,vr,1
veratrum removal #1 - 2009,vr,1
veratrum removal #2,vr,2
veratrum removal #2 - 1998,vr,2
veratrum removal #2 - 1999,vr,2
veratrum removal #2 - 2000,vr,2
veratrum removal #2 - 2001,vr,2
veratrum removal #2 - 2002,vr,2
veratrum removal #2 - 2003,vr,2
veratrum removal #2 - 2004,vr,2
veratrum removal #2 - 2005,vr,2
veratrum removal #2 - 2006,vr,2
veratrum removal #2 - 2007,vr,2
veratrum removal #2 - 2008,vr,2
veratrum removal #2 - 2009,vr,2
veratrum removal plot #1 - 1997,vr,1
veratrum removal plot #2 - 1997,vr,2
vr1-1974,vr,1
vr1-1975,vr,1
vr1-1980,vr,1
vr1-1981,vr,1
vr1-1982,vr,1
vr1-1983,vr,1
vr1-1984,vr,1
vr1-1985,vr,1
vr1-1986,vr,1
vr11976,vr,1
vr11977,vr,1
vr11979,vr,1
vr11987,vr,1
vr11988,vr,1
vr11989,vr,1
vr11991,vr,1
vr11992,vr,1
vr11993,vr,1
vr11995,vr,1
vr2-1974,vr,2
vr2-1975,vr,2
vr2-1980,vr,2
vr2-1981,vr,2
vr2-1982,vr,2
vr2-1983,vr,2
vr2-1984,vr,2
vr2-1985,vr,2
vr2-1986,vr,2
vr21976,vr,2
vr21977,vr,2
vr21979,vr,2
vr21984,vr,2
vr21987,vr,2
vr21988,vr,2
vr21989,vr,2
vr21991,vr,2
vr21992,vr,2
vr21993,vr,2
vr21994,vr,2
vr21995,vr,2
w-m1-80,wm,1
w-m1-81,wm,1
w-m1-82,wm,1
w-m1-83,wm,1
w-m1-85,wm,1
w-m1-86,wm,1
w-m2-80,wm,2
w-m2-81,wm,2
w-m2-82,wm,2
w-m2-83,wm,2
w-m2-85,wm,2
w-m2-86,wm,2
w-m3-80,wm,3
w-m3-81,wm,3
w-m3-82,wm,3
w-m3-83,wm,3
w-m3-85,wm,3
w-m3-86,wm,3
w-m4-80,wm,4
w-m4-81,wm,4
w-m4-82,wm,4
w-m4-83,wm,4
w-m4-85,wm,4
w-m4-86,wm,4
w-m5-80,wm,5
w-m5-81,wm,5
w-m5-82,wm,5
w-m5-83,wm,5
w-m5-85,wm,5
w-m5-86,wm,5
wet meadow #1 - 1997,wm,1
wet meadow #1 - 1998,wm,1
wet meadow #1 - 1999,wm,1
wet meadow #1 - 2000,wm,1
wet meadow #1 - 2001,wm,1
wet meadow #1 - 2002,wm,1
wet meadow #1 - 2003,wm,1
wet meadow #1 - 2004,wm,1
wet meadow #1 - 2005,wm,1
wet meadow #1 - 2006,wm,1
wet meadow #1 - 2007,wm,1
wet meadow #1 - 2008,wm,1
wet meadow #1 - 2009,wm,1
wet meadow #2 - 1997,wm,2
wet meadow #2 - 1998,wm,2
wet meadow #2 - 1999,wm,2
wet meadow #2 - 2000,wm,2
wet meadow #2 - 2001,wm,2
wet meadow #2 - 2002,wm,2
wet meadow #2 - 2003,wm,2
wet meadow #2 - 2004,wm,2
wet meadow #2 - 2005,wm,2
wet meadow #2 - 2006,wm,2
wet meadow #2 - 2007,wm,2
wet meadow #2 - 2008,wm,2
wet meadow #2 - 2009,wm,2
wet meadow #3 - 1997,wm,3
wet meadow #3 - 1998,wm,3
wet meadow #3 - 1999,wm,3
wet meadow #3 - 2000,wm,3
wet meadow #3 - 2001,wm,3
wet meadow #3 - 2002,wm,3
wet meadow #3 - 2003,wm,3
wet meadow #3 - 2004,wm,3
wet meadow #3 - 2005,wm,3
wet meadow #3 - 2006,wm,3
wet meadow #3 - 2007,wm,3
wet meadow #3 - 2008,wm,3
wet meadow #3 - 2009,wm,3
wet meadow #4 - 1997,wm,4
wet meadow #4 - 1998,wm,4
wet meadow #4 - 1999,wm,4
wet meadow #4 - 2000,wm,4
wet meadow #4 - 2001,wm,4
wet meadow #4 - 2002,wm,4
wet meadow #4 - 2003,wm,4
wet meadow #4 - 2004,wm,4
wet meadow #4 - 2005,wm,4
wet meadow #4 - 2006,wm,4
wet meadow #4 - 2007,wm,4
wet meadow #4 - 2008,wm,4
wet meadow #4 - 2009,wm,4
wet meadow #5 - 1997,wm,5
wet meadow #5 - 1998,wm,5
wet meadow #5 - 1999,wm,5
wet meadow #5 - 2000,wm,5
wet meadow #5 - 2001,wm,5
wet meadow #5 - 2002,wm,5
wet meadow #5 - 2003,wm,5
wet meadow #5 - 2004,wm,5
wet meadow #5 - 2005,wm,5
wet meadow #5 - 2006,wm,5
wet meadow #5 - 2007,wm,5
wet meadow #5 - 2008,wm,5
wet meadow #5 - 2009,wm,5
willow-meadow interface #1,mi,1
willow-meadow interface #1 - 1997,mi,1
willow-meadow interface #1 - 1998,mi,1
willow-meadow interface #1 - 1999,mi,1
willow-meadow interface #1 - 2000,mi,1
willow-meadow interface #1 - 2001,mi,1
willow-meadow interface #1 - 2002,mi,1
willow-meadow interface #1 - 2003,mi,1
willow-meadow interface #1 - 2004,mi,1
willow-meadow interface #1 - 2005,mi,1
willow-meadow interface #2,mi,2
willow-meadow interface #2 - 1997,mi,2
willow-meadow interface #2 - 1998,mi,2
willow-meadow interface #2 - 1999,mi,2
willow-meadow interface #2 - 2000,mi,2
willow-meadow interface #2 - 2001,mi,2
willow-meadow interface #2 - 2002,mi,2
willow-meadow interface #2 - 2003,mi,2
willow-meadow interface #2 - 2004,mi,2
willow-meadow interface #2 - 2005,mi,2
willow-meadow interface #3,mi,3
willow-meadow interface #3 - 1997,mi,3
willow-meadow interface #3 - 1998,mi,3
willow-meadow interface #3 - 1999,mi,3
willow-meadow interface #3 - 2000,mi,3
willow-meadow interface #3 - 2001,mi,3
willow-meadow interface #3 - 2002,mi,3
willow-meadow interface #3 - 2003,mi,3
willow-meadow interface #3 - 2004,mi,3
willow-meadow interface #3 - 2005,mi,3
willow-meadow interface #4,mi,4
willow-meadow interface #4 - 1997,mi,4
willow-meadow interface #4 - 1998,mi,4
willow-meadow interface #4 - 1999,mi,4
willow-meadow interface #4 - 2000,mi,4
willow-meadow interface #4 - 2001,mi,4
willow-meadow interface #4 - 2002,mi,4
willow-meadow interface #4 - 2003,mi,4
willow-meadow interface #4 - 2004,mi,4
willow-meadow interface #4 - 2005,mi,4
willow-meadow interface #5,mi,5
willow-meadow interface #5 - 1997,mi,5
willow-meadow interface #5 - 1998,mi,5
willow-meadow interface #5 - 1999,mi,5
willow-meadow interface #5 - 2000,mi,5
willow-meadow interface #5 - 2001,mi,5
willow-meadow interface #5 - 2002,mi,5
willow-meadow interface #5 - 2003,mi,5
willow-meadow interface #5 - 2004,mi,5
willow-meadow interface #5 - 2005,mi,5
willow-meadow interface plot #1 - 2007,mi,1
willow-meadow interface plot #1 - 2008,mi,1
willow-meadow interface plot #1 - 2009,mi,1
willow-meadow interface plot #1 - updated july 2008_2006,mi,1
willow-meadow interface plot #2 - 2006,mi,2
willow-meadow interface plot #2 - 2007,mi,2
willow-meadow interface plot #2 - 2008,mi,2
willow-meadow interface plot #2 - 2009,mi,2
willow-meadow interface plot #3 - 2006,mi,3
willow-meadow interface plot #3 - 2007,mi,3
willow-meadow interface plot #3 - 2008,mi,3
willow-meadow interface plot #3 - 2009,mi,3
willow-meadow interface plot #4 - 2006,mi,4
willow-meadow interface plot #4 - 2007,mi,4
willow-meadow interface plot #4 - 2008,mi,4
willow-meadow interface plot #4 - 2009,mi,4
willow-meadow interface plot #5 - 2006,mi,5
willow-meadow interface plot #5 - 2007,mi,5
willow-meadow interface plot #5 - 2008,mi,5
willow-meadow interface plot #5 - 2009,mi,5
wm1-1974,wm,1
wm1-1980,wm,1
wm1-1981,wm,1
wm1-1982,wm,1
wm1-1983,wm,1
wm1-1984,wm,1
wm1-1985,wm,1
wm1-1986,wm,1
wm11975,wm,1
wm11976,wm,1
wm11977,wm,1
wm11979,wm,1
wm11987,wm,1
wm11988,wm,1
wm11989,wm,1
wm11991,wm,1
wm11992,wm,1
wm11993,wm,1
wm11994,wm,1
wm11995,wm,1
wm11996,wm,1
wm2-1974,wm,2
wm2-1980,wm,2
wm2-1981,wm,2
wm2-1982,wm,2
wm2-1983,wm,2
wm2-1984,wm,2
wm2-1985,wm,2
wm2-1986,wm,2
wm21975,wm,2
wm21976,wm,2
wm21977,wm,2
wm21979,wm,2
wm21987,wm,2
wm21988,wm,2
wm21989,wm,2
wm21991,wm,2
wm21992,wm,2
wm21993,wm,2
wm21994,wm,2
wm21995,wm,2
wm21996,wm,2
wm3-1974,wm,3
wm3-1980,wm,3
wm3-1981,wm,3
wm3-1982,wm,3
wm3-1983,wm,3
wm3-1984,wm,3
wm3-1985,wm,3
wm3-1986,wm,3
wm31975,wm,3
wm31976,wm,3
wm31977,wm,3
wm31979,wm,3
wm31987,wm,3
wm31988,wm,3
wm31989,wm,3
wm31991,wm,3
wm31992,wm,3
wm31993,wm,3
wm31994,wm,3
wm31995,wm,3
wm31996,wm,3
wm4-1974,wm,4
wm4-1980,wm,4
wm4-1981,wm,4
wm4-1982,wm,4
wm4-1983,wm,4
wm4-1984,wm,4
wm4-1985,wm,4
wm4-1986,wm,4
wm41975,wm,4
wm41976,wm,4
wm41977,wm,4
wm41979,wm,4
wm41987,wm,4
wm41988,wm,4
wm41989,wm,4
wm41991,wm,4
wm41992,wm,4
wm41993,wm,4
wm41994,wm,4
wm41995,wm,4
wm41996,wm,4
wm5-1974,wm,5
wm5-1980,wm,5
wm5-1981,wm,5
wm5-1982,wm,5
wm5-1983,wm,5
wm5-1984,wm,5
wm5-1985,wm,5
wm5-1986,wm,5
wm51975,wm,5
wm51976,wm,5
wm51977,wm,5
wm51979,wm,5
wm51988,wm,5
wm51989,wm,5
wm51991,wm,5
wm51992,wm,5
wm51993,wm,5
wm51994,wm,5
wm51995,wm,5
wm51996,wm,5
wms1-1973,wms1-1973,
